code,system
C14,icd10
C00,icd10
187606005,icd10
187614004,icd10
363374005,icd10
255071008,icd10
363348004,icd10
187613005,icd10
255069008,icd10
421249001,icd10
254389005,icd10
363373004,icd10
188030005,icd10
271323007,icd10
363372009,icd10
275399006,icd10
187604008,icd10
269515006,icd10
187601000,icd10
187624007,icd10
271568003,icd10
C26,icd10
255077007,icd10
275266006,icd10
187824009,icd10
C25,icd10
255088001,icd10
700423003,icd10
735735001,icd10
254611009,icd10
372003004,icd10
187791002,icd10
235966007,icd10
187798008,icd10
285614004,icd10
363418001,icd10
187792009,icd10
187793004,icd10
372119009,icd10
314964006,icd10
363419009,icd10
314999005,icd10
109848009,icd10
C39,icd10
239297008,icd10
372016004,icd10
109911004,icd10
94628003,icd10
269544008,icd10
187814001,icd10
254824006,icd10
409231000000104,icd10
94627008,icd10
C63,icd10
C02,icd10
C49,icd10
C06,icd10
C57,icd10
C44,icd10
394895009,icd10
829591000000101,icd10
315601005,icd10
265761001,icd10
268500004,icd10
169403005,icd10
169402000,icd10
367336001,icd10
394894008,icd10
169396008,icd10
169401007,icd10
396181000000106,icd10
235391000000102,icd10
232681000000103,icd10
C32,icd10
109369002,icd10
363429002,icd10
C66,icd10
363458004,icd10
C05,icd10
363387004,icd10
363388009,icd10
363390005,icd10
C69,icd10
109948008,icd10
255093003,icd10
428322007,icd10
C56,icd10
254874008,icd10
15635721000119108,icd10
363443007,icd10
93934004,icd10
254860001,icd10
285637005,icd10
C40,icd10
C41,icd10
1090871000000102,icd10
109347009,icd10
1090821000000101,icd10
109348004,icd10
C24,icd10
363415003,icd10
109847004,icd10
188263008,icd10
416901002,icd10
255087006,icd10
255015006,icd10
C17,icd10
363509000,icd10
285609003,icd10
109837002,icd10
188691005,icd10
C08,icd10
109824000,icd10
363378008,icd10
C45,icd10
109378008,icd10
254645002,icd10
109853004,icd10
C10,icd10
C11,icd10
187701005,icd10
363397008,icd10
93933005,icd10
363398003,icd10
187692001,icd10
448868009,icd10
187688008,icd10
255074000,icd10
187700006,icd10
363392002,icd10
187693006,icd10
109367000,icd10
C03,icd10
1090921000000106,icd10
94083008,icd10
93941005,icd10
94099002,icd10
94142007,icd10
310599006,icd10
93842002,icd10
93979000,icd10
188302003,icd10
188266000,icd10
371979001,icd10
1090251000000105,icd10
188285002,icd10
93799003,icd10
188298006,icd10
